rto_code,rto_name
CH01,"RLA,CHANDIGARH"
CG04,"RTO,RAIPUR"
CG05,"DTO,DHAMTARI"
CG06,"DTO,MAHASAMUND"
CG07,"ADDL.RTO,DURG"
CG08,"ADDL.RTO,RAJNANDGAON"
CG09,"DTO,KABIRDHAM"
CG10,"RTO,BILASHPUR"
CG11,"DTO,JANGIR_CHAMPA"
CG12,"ADDL.RTO,KORBA"
CG13,"ADDL.RTO,RAIGARH"
CG14,"DTO,JASHPUR"
CG15,"ADDL.RTO,AMBIKAPUR"
CG16,"DTO,BAIKUNTHPUR"
CG17,"RTO,JAGDALPUR"
CG18,"DTO,DANTEWADA"
CG19,"DTO,KANKER"
CG22,"DTO,BALODABAZAR"
CG23,"DTO,GARIYABAND"
CG24,"DTO,BALOD"
CG25,"DTO,BEMETARA"
CG26,"DTO,SUKMA"
CG27,"DTO,KONDAGAON"
CG28,"DTO,MUNGELI"
CG29,"DTO,SURAJPUR"
CG30,"DTO,BALRAMPUR"
DN09,"RLA, SILVASSA, DNH UT"
DD02,"RTO,DIU"
DD03,"RTO,DAMAN"
KA01,"RTO,KORAMANGALA"
KA02,"RTO,BANGALORE (WEST)"
KA03,"RTO,BANGALORE (EAST)"
KA04,"RTO,BANGALORE (NORTH)"
KA05,"RTO,BANGALORE (SOUTH)"
KA06,"RTO,TUMKUR"
KA07,"RTO,KOLAR"
KA08,"RTO,CORMONDAL"
KA09,"RTO,MYSORE"
KA10,"RTO,CHAMARAJ NAGAR"
KA11,"RTO,MANDYA"
KA12,"RTO,MADEIKERI"
KA13,"RTO,HASSAN"
KA14,"RTO,SHIMOGA"
KA15,"ASST.RTO,SAGAR"
KA16,"RTO,CHITRADURGA"
KA17,"RTO,DAVANAGERE"
KA18,"RTO,CHICKMAGALUR"
KA19,"RTO,MANGALORE."
KA20,"RTO,UDUPI"
KA21,"RTO,PUTTUR"
KA22,"RTO,BELGAUM"
KA23,"RTO,CHIKKODI"
KA24,"ASST.RTO,BAILAHONGALA"
KA25,"RTO,DHARWAD"
KA26,"RTO,GADAG"
KA27,"RTO,HAVERI"
KA28,"RTO,BIJAPUR"
KA29,"RTO,BAGALKOT"
KA30,"RTO,KARWAR"
KA31,"RTO,SIRSI"
KA32,"RTO,GULBARGA"
KA33,"RTO,YADAGIRI"
KA34,"RTO,BELLARY"
KA35,"RTO,HOSPET"
KA36,"RTO,RAICHUR"
KA37,"RTO,KOPPAL"
KA38,"RTO,BIDAR"
KA39,"ASST.RTO,BHALKI"
KA40,"RTO,CHIKKABALLAPURA"
KA41,"RTO,BANGALORE"
KA42,"RTO,RAMANAGARA"
KA43,"ASST.RTO,DEVENAHALLI"
KA44,"ASST.RTO,TIPTUR"
KA45,"ASST.RTO,HUNSUR"
KA46,"ASST.RTO,SAKALESHPURA"
KA47,"ASST.RTO,HONNAVARA"
KA48,"ASST.RTO,JAMAKHANDI"
KA49,"ASST.RTO,GOKAK"
KA50,"RTO,YELAHANKA"
KA51,"RTO,CHENNAKESHAVANAGAR"
KA52,"RTO,NELAMANGALA"
KA53,"RTO, K.R.PURAM"
KA54,"ASST.RTO,NAGAMANGALA"
KA55,"RTO,MYSORE EAST"
KA56,"RTO, BASAVAKALYAN"
KA64,ARTO MADHUGIRI
KA65,ARTO DANDELI
KA66,"ARTO,TARIKERE,CHICKMAGALUR DISTRICT, KARNATAKA."
KL01,"RTO,THIRUVANANTHAPURAM"
KL02,"RTO,KOLLAM"
KL03,"RTO,PATHANAMTHITTA"
KL04,"RTO,ALAPPUZHA"
KL05,"RTO,KOTTAYAM"
KL06,"RTO,IDUKKI"
KL07,"RTO,ERNAKULAM"
KL08,"RTO,THRISSUR"
KL09,"RTO,PALAKKAD"
KL10,"RTO,MALAPPURAM"
KL11,"RTO,KOZHIKODE"
KL12,"RTO,WAYANAD"
KL13,"RTO,KANNUR"
KL14,"RTO,KASARAGOD"
KL15,RTO-NATIONAL SECTOR
KL16,"RTO,ATTINGAL"
KL17,"RTO,MUVATTUPUZHA"
KL18,"RTO,VADAKARA"
KL19,"SRTO,PARASSALA"
KL20,"SRTO,NEYYATTINKARA"
KL21,"SRTO,NEDUMANGAD"
KL22,"SRTO,KAZHAKUTTOM"
KL23,"SRTO,KARUNAGAPPALLY"
KL24,"SRTO,KOTTAKKARA"
KL25,"SRTO,PUNALUR"
KL26,"SRTO,ADOOR"
KL27,"SRTO,THIRUVALLA"
KL28,"SRTO,MALLAPPALLY"
KL29,"SRTO,KAYAMKULAM"
KL30,"SRTO,CHENGANNUR"
KL31,"SRTO,MAVELIKKARA"
KL32,"SRTO,CHERTHALA"
KL33,"SRTO,CHANGANACHERRY"
KL34,"SRTO,KANJIRAPPALLY"
KL35,"SRTO,PALA"
KL36,"SRTO,VAIKKOM"
KL37,"SRTO,VANDIPERIYAR"
KL38,"SRTO,THODUPUZHA"
KL39,"SRTO,TRIPUNITHURA"
KL40,"SRTO,PERUMBAVOOR"
KL41,"SRTO,ALUVA"
KL42,"SRTO,NORTH PARAVOOR"
KL43,"SRTO,MATTANCHERRY"
KL44,"SRTO,KOTHAMANGALAM"
KL45,"SRTO,IRANJALAKKUDA"
KL46,"SRTO,GURUVAYOOR"
KL47,"SRTO,KODUNGALLUR"
KL48,"SRTO,VADAKKANCHERRY"
KL49,"SRTO,ALATHUR"
KL50,"SRTO,MANNARKKAD"
KL51,"SRTO,OTTAPPALAM"
KL52,"SRTO,PATTAMBI"
KL53,"SRTO,PERINTHALMANNA"
KL54,"SRTO,PONNANI"
KL55,"SRTO,TIRUR"
KL56,"SRTO,KOYILANDY"
KL57,"SRTO,KODUVALLY"
KL58,"SRTO,THALASSERY"
KL59,"SRTO,THALIPARAMBA"
KL60,"SRTO,KANHANGAD"
KL61,"SRTO, KUNNATHUR"
KL62,"SRTO, RANNI"
KL63,"SRTO, ANGAMALI"
KL64,"SRTO, CHALAKKUDY"
KL65,"SRTO, THIRURANGADI"
AN01,"O/O THE LICENSING AUTHORITY,PORT BLAIR"
AP002,RTA ANANTAPUR
AP003,RTA CHITTOOR
AP004,RTA CUDDAPAH
AP005,RTA EAST GODAVARI-KAKINADA
AP007,RTA GUNTUR
AP016,RTA VIJAYAWADA
AP021,RTA KURNOOL
AP026,RTA NELLORE
AP027,RTA PRAKASAM
AP030,RTA SRIKAKULAM
AP031,RTA VISHAKAPATNAM
AP035,RTA VIZIANAGARAM
AP037,RTA WEST GODAVARI - ELURU
AP102,RTA HINDUPUR
AP103,RTA TIRUPATI
AP104,MVI OFFICE BADVEL
AP105,RTA RAJAHMUNDRY
AP107,RTA NARASARAOPET
AP116,RTA GUDIWADA
AP121,RTA NANDYAL
AP126,MVI OFFICE ATMAKUR
AP127,UNIT OFFICE CHIRALA
AP130,MVI OFFICE ITCHAPURAM
AP131,RTA ANAKAPALLI
AP135,MVI OFFICE PARVATHIPURAM
AP137,RTA BHIMAVARAM
AP202,UNIT OFFICE GUNTAKAL
AP203,UNIT OFFICE MADANAPALLE
AP204,RTA PRODDUTUR
AP205,RTA AMALAPURAM
AP207,MVI OFFICE BAPATLA
AP216,UNIT OFFICE MACHILIPATNAM
AP221,UNIT OFFICE ADONI
AP226,RTA GUDUR
AP227,MVI OFFICE KANDUKUR
AP230,MVI OFFICE PALAKONDA
AP231,RTA GAJUWAKA
AP235,MVI OFFICE SALUR
AP237,UNIT OFFICE JANGAREDDY GUDEM
AP302,MVI OFFICE KADIRI
AP303,MVI OFFICE PALAMANER
AP304,MVI OFFICE PULIVENDULA
AP305,UNIT OFFICE KATHIPUDI
AP307,MVI CHILAKALURIPETA
AP316,RTA NANDIGAMA
AP321,MVI OFFICE ATMAKUR-KURNOOL
AP326,UNIT OFFICE KAVALI
AP327,UNIT OFFICE MARKAPUR
AP330,MVI OFFICE PALASA
AP331,MVI OFFICE NARSIPATNAM
AP337,UNIT OFFICE KOVVURU
AP402,UNIT OFFICE TADIPATRI
AP403,MVI OFFICE PILER
AP404,MVI OFFICE RAJAMPET
AP405,UNIT OFFICE MANDAPETA
AP407,MVI OFFICE MACHERLA
AP416,UNIT OFFICE NUZVID
AP421,MVI OFFICE DHONE
AP426,UNIT OFFICE SULLURPET
AP427,UNIT OFFICE DARSI
AP430,MVI OFFICE TEKKALI
AP437,UNIT OFFICE TADEPALLI GUDEM
AP503,MVI OFFICE PUTTUR
AP504,MVI OFFICE RAYACHOTI
AP505,MVI OFFICE PEDDAPURAM
AP507,MVI OFFICE MANGALAGIRI
AP516,UNIT OFFICE VUYYURU
AP537,UNIT OFFICE TANUKU
AP603,MVI OFFICE SRIKALAHASTHI
AP607,UNIT OFFICE PIDUGURALLA
AP616,UNIT OFFICE JAGGAYYAPET
AP637,UNIT OFFICE PALAKOLE
AP705,UNIT OFFICE RAVULAPALEM
AP707,UNIT OFFICE TENALI
AP905,MVI OFFICE CHINTOOR
AR01,"DTO, ITANAGAR"
AR03,"DTO,TAWANG"
AR04,"DTO,BOMDILA"
AR05,"DTO,SEPPA"
AR06,"DTO,ZIRO"
AR07,"DTO,DAPORIJO"
AR08,"DTO,ALONG"
AR09,"DTO,PASIGHAT"
AR10,DTO ANINI
AR11,"DTO,TEZU"
AR12,"DTO,CHANGLANG"
AR13,"DTO,KHONSA"
AR14,DTO YINGKIONG
AR15,DTO KOLORIANG
AR16,"DTO,ROING"
AR17,"DTO, HAWAI"
AS01,"DTO,KAMRUP"
AS02,"DTO,NAGAON"
AS03,"DTO,JORHAT"
AS04,"DTO,SIVSAGAR"
AS05,"DTO,GOLAGHAT"
AS06,"DTO,DIBRUGARH"
AS07,"DTO,LAKHIMPUR"
AS08,"DTO,N.C HILLS"
AS09,"DTO,KARBI ANGLOG"
AS10,"DTO,KARIMGANJ"
AS11,"DTO,SILCHAR"
AS12,"DTO,SONITPUR"
AS13,"DTO,DARRANG"
AS14,"DTO,NALBARI"
AS15,"DTO,BARPETA"
AS16,"DTO,KOKRAJHAR"
AS17,"DTO,DHUBRI"
AS18,"DTO,GOALPARA"
AS19,"DTO,BONGAIGAON"
AS21,"DTO,MORIGAON"
AS22,"DTO,DHEMAJI"
AS23,"DTO,TINSUKIA"
AS24,"DTO,HAILAKANDI"
AS25,"DTO, KAMRUP RURAL"
AS26,"DTO,CHIRANG"
AS27,"DTO,UDALGURI"
AS28,"DTO,BAKSA"
BR01,"DTO, PATNA"
BR02,"DTO, GAYA"
BR03,"DTO, BHOJPUR"
BR04,"DTO, CHAPARA"
BR05,"DTO, MOTIHARI"
BR06,"DTO, MUZAFFARPUR"
BR07,"DTO, DARBHANGA"
BR08,"DTO, MUNGER"
BR09,"DTO, BEGUSARAI"
BR10,"DTO, BHAGALPUR"
BR11,"DTO, PURNEA"
BR19,"DTO, SAHARSA"
BR21,"DTO, NALANDA"
BR22,"DTO, BETTIAH"
BR24,"DTO, ROHTAS"
BR25,"DTO, JEHANABAD"
BR26,"DTO, AURANGABAD"
BR27,"DTO, NAWADAH"
BR28,"DTO, GOPALGANJ"
BR29,"DTO, SIWAN"
BR30,"DTO, SITAMARHI"
OD01,"RTO,BALASORE"
OD02,"RTO,BHUBANESWAR"
OD02K,"ASST.RTO,KHURDA"
OD03,"RTO,BOLANGIR"
OD04,"RTO,CHANDIKHOL"
OD05,"RTO,CUTTACK"
OD06,"RTO,DHENKANAL"
OD07,"RTO,GANJAM"
OD08,"RTO,KALAHANDI"
OD09,"RTO,KEONJHAR"
OD09B,"ADDL.RTO,BARBIL"
OD10,"RTO,KORAPUT"
OD11,"RTO,MAYURBHANJ"
OD11R,"ASST.RTO,RAIRANGPUR"
OD12,"RTO,PHULBANI"
OD13,"RTO,PURI"
OD14,"RTO,ROURKELA"
OD15,"RTO,SAMBALPUR"
OD16,"RTO,SUNDERGARH"
OD17,"RTO,BARAGARH"
OD18,"RTO,RAYAGADA"
OD19,"RTO,ANGUL"
OD20,"RTO,GAJAPATI"
OD21,"RTO,JAGATSINGHPUR"
OD22,"RTO,BHADRAK"
OD23,"RTO,JHARSUGUDA"
OD24,"RTO,NAWARANGPUR"
OD25,"RTO,NAYAGARH"
OD26,"RTO,NUAPADA"
OD27,"RTO,BOUDH"
OD28,"RTO,DEOGARH"
OD29,"RTO,KENDRAPARA"
OD30,"RTO,MALKANGIRI"
OD31,"RTO,SUBARNAPUR"
OD32,"RTO,BHANJANAGAR"
OD33,"RTO,BHUBANESWAR-II"
OD34,"RTO,JAJPUR"
OD35,"RTO,TALCHER"
OD99,"GOVT.DRIVING TRAINING SCHOOL,BHUBANESWAR"
PY01,"RTO,PUDUCHERRY"
PY01B,BAHOUR
PY02,"RTO,KARAIKAL"
PY03,UNIT OFFICE MAHE
PY04,UNIT OFFICE YANAM
PY05,OULGARET
PY05V,THIRUBHUVANAI
PB01,"STA,PUNJAB"
PB02,"DTO,AMRITSAR"
PB03,"DTO,BATHINDA"
PB04,"DTO,FARIDKOT"
PB05,"DTO,FEROZEPUR"
PB06,"DTO,GURDASPUR"
PB07,"DTO,HOSHIARPUR"
PB08,"DTO,JALANDHAR"
PB09,"DTO,KAPURTHALA"
PB10,"DTO,LUDHIANA"
PB11,"DTO,PATIALA"
PB12,"DTO,ROPAR"
PB13,"DTO,SANGRUR"
PB14,"SDM,AJNALA"
PB15,"SDM,ABOHAR"
PB16,"SDM,ANANDPUR SAHIB"
PB17,"SDM,BABA BAKALA"
PB18,"SDM,BATALA"
PB19,"DTO,BARNALA"
PB20,"SDM,BALACHAUR"
PB21,"SDM,DASUYA"
PB22,"SDM,FAZILKA"
PB23,"DTO,FATEHGARH SAHIB"
PB24,"SDM,GARHSHANKAR"
PB25,"SDM,JAGRAON"
PB26,"SDM,KHANNA"
PB27,"SDM,KHARAR"
PB28,"SDM,MALERKOTLA"
PB29,"DTO,MOGA"
PB30,"DTO,MUKTSAR"
PB31,"DTO,MANSA"
PB32,"DTO,NAWANSHAHAR"
PB33,"SDM,NAKODAR"
PB34,"SDM,NABHA"
PB35,"SDM,PATHANKOT"
PB36,"SDM,PHAGWARA"
PB37,"SDM,PHILLAUR"
PB38,"SDM, PATTI"
PB39,"SDM,RAJPURA"
PB40,"SDM,RAMPURA PHUL"
PB41,"SDM,SULTANPUR LODHI"
PB42,"SDM,SAMANA"
PB43,"SDM,SAMRALA"
PB44,"SDM,SUNAM"
PB45,"SDM,TALWANDI SABO"
PB46,"DTO,TARAN TARAN"
PB47,"SDM,ZIRA"
PB48,"SDM,AMLOH"
PB49,"SDM,KHAMAO"
PB50,"SDM,BUDHLADA"
PB51,"SDM,SARDULGARH"
PB52,"SDM,BASSI"
PB53,"SDM,MALOUT"
PB54,"SDM,MUKERIAN"
PB55,"SDM,PAYAL"
PB56,"SDM,RAIKOT"
PB57,"SDM,BHOLATH"
PB58,"SDM,DERA BABA NANAK"
PB59,"SDM,DHURI"
PB60,"SDM,GIDDERBAHA"
PB61,"SDM,JALALABAD"
PB62,"SDM,JAITU"
PB63,"SDM,KHADOOR SAHIB"
PB64,"SDM,MOONAK"
PB65,"DTO,SASNAGAR"
PB66,"SDM,NIHAL SINGH WALA"
PB67,"SDM,SHAHKOT"
PB68,"SDM,DHAR KALAN"
PB69,"SDM,BAGHAPURANA"
PB70,"SDM,DERABASSI"
PB71,"SDM,CHAMKAUR SAHIB"
PB72,"SDM,PATRAN"
PB73,"SDM,TAPA"
PB74,"SDM,NANGAL"
RJ01,"RTO, AJMER"
RJ02,"RTO, ALWAR"
RJ02A,"SUB OFFICE, BEHROR"
RJ03,"DTO, BANSWARA"
RJ04,"DTO, BARMER"
RJ05,"DTO, BHARATPUR"
RJ05A,"SUB OFFICE, DEEG"
RJ06,"DTO, BHILWARA"
RJ07,"RTO, BIKANER"
RJ08,"DTO, BUNDI"
RJ09,"RTO, CHITTORGARH"
RJ10,"DTO, CHURU"
RJ10A,"SUB OFFICE, RAJGARH"
RJ11,"DTO, DHOLPUR"
RJ12,"DTO, DUNGARPUR"
RJ13,"DTO, SRI-GANGANAGAR"
RJ13A,"SUB OFFICE, SURATGARH"
RJ14,"RTO, JAIPUR"
RJ15,"DTO, JAISALMER"
RJ15A,"SUB OFFICE, POKRAN"
RJ16,"DTO, JALORE"
RJ16B,"SUB OFFICE, SANCHOR"
RJ17,"DTO, JHALAWAR"
RJ18,"DTO, JHUNJHUNU"
RJ18A,"SUB OFFICE, KHETRI"
RJ19,"RTO, JODHPUR"
RJ19A,"SUB OFFICE, PIPAD CITY"
RJ19B,"SUB OFFICE, FALODI"
RJ20,"RTO, KOTA"
RJ21,"DTO, NAGAUR"
RJ21A,"SUB OFFICE, MAKRANA"
RJ21B,"SUB OFFICE, MEDTACITY"
RJ22,"DTO, PALI"
RJ22A,"SUB OFFICE, SUMERPUR"
RJ22B,"SUB OFFICE, SOJAT"
RJ23,"RTO, SIKAR"
RJ23A,"SUB OFFICE, RINGUS"
RJ23B,"SUB OFFICE, NEEMKATHANA"
RJ24,"DTO, SIROHI"
RJ25,"DTO, SWAIMADHOPUR"
BR31,"DTO, VAISHALI"
BR32,"DTO, MADHUBANI"
BR33,"DTO, SAMASTIPUR"
BR34,"DTO, KHAGARIA"
BR37,"DTO, KISHANGANJ"
BR38,"DTO, ARAREA"
BR39,"DTO, KATIHAR"
BR43,"DTO, MADHEPURA"
BR44,"DTO, BUXUR"
BR45,"DTO, BHABHUA"
BR46,"DTO, JAUMUI"
BR50,"DTO, SUPAUL"
BR51,"DTO, BANKA"
BR52,"DTO, SHEIKHPURA"
BR53,"DTO, LAKHISARAI"
BR55,"DTO, SHEOHAR"
BR56,"DTO, ARAWAL"
RJ25A,"SUB OFFICE, GANGAPURCITY"
RJ26,"DTO, TONK"
RJ26A,"SUB OFFICE, NIWAI"
RJ26B,"SUB OFFICE, UNIARA"
RJ27,"RTO, UDAIPUR"
RJ27A,"SUB OFFICE, SALUMBAR"
RJ28,"DTO, BARAN"
RJ29,"RTO, DAUSA"
RJ30,"DTO, RAJSAMAND"
RJ30A,"SUB OFFICE, NATHDWARA"
RJ30B,"SUB OFFICE, BHIM"
RJ31,"DTO, HANUMANGARH"
RJ32,"DTO, KOTPUTALI"
RJ33,"DTO, RAMGANJMANDI"
RJ34,"DTO, KAROLI"
RJ34A,"SUB OFFICE, HINDON"
RJ35,"DTO, PRATAPGARH"
RJ36,"DTO, BEAWAR"
RJ37,"DTO, DIDWANA"
RJ37A,"SUB OFFICE, NAVA"
RJ38,"DTO, ABU ROAD"
RJ39,"DTO, BALOTRA"
RJ40,"DTO, BHIWADI"
RJ41,"DTO, CHOMU"
RJ42,"DTO, KISHANGARH"
RJ43,"DTO, FALODI"
RJ44,"DTO, SUJANGARH"
RJ45,"RTO, JAIPUR (NORTH)"
RJ46,"DTO, BHINMAL"
RJ47,"DTO, DUDU"
RJ48,"DTO, KEKRI"
RJ49,"DTO, NOHAR"
RJ50,"DTO, NOKHA"
RJ51,"DTO, SHAHPURA, BHILWARA"
RJ52,"DTO, SHAHPURA, JAIPUR"
SK01,"RTO,EAST SIKKIM"
SK02,"RTO,WEST SIKKIM"
SK03,"RTO,NORTH SIKKIM"
SK04,"RTO,SOUTH SIKKIM"
TN01,"RTO,CHENNAI (CENTRAL)"
TN02,"RTO,CHENNAI (NORTH WEST),"
TN03,"RTO,CHENNAI (NORTH EAST),"
TN04,"RTO,CHENNAI (EAST),"
TN05,"RTO,CHENNAI (NORTH)"
TN06,"RTO,CHENNAI (SOUTH EAST)"
TN07,"RTO,CHENNAI (SOUTH),"
TN09,"RTO,CHENNAI (WEST),"
TN10,"RTO,CHENNAI (SOUTH WEST)"
TN11,"RTO OFFICE,TAMBARAM,"
TN12,"RTO, POONAMALEE,"
TN13,"RTO, AMBATTUR"
TN14,"RTO,SHOLINGANALLUR,"
TN15,"RTO,ULUNDURPET,"
TN15Z,"UO, KALLAKURICHI"
TN16,"RTO OFFICE,TINDIVANAM,"
TN16Z,"UNIT OFFICE , GINGEE"
TN18,"RTO,REDHILLS"
TN18Y,"UNIT OFFICE, GUMIDIPOONDI"
TN19,"RTO, CHENGALPATTU"
TN19Z,"UNIT OFFICE, MADURANTAGAM,"
TN20,"RTO,THIRUVALLUR"
TN20X,"UNIT OFFICE, TIRUTHANI"
TN21,"RTO, KANCHEEPURAM"
TN21W,"UO, SRIPERUMBUDUR"
TN22,"RTO, MEENAMBAKKAM"
TN23,"RTO, VELLORE"
TN23T,"UNIT OFFICE,GUDIYATHAM,"
TN24,"RTO, KRISHNAGIRI"
TN25,"RTO, TIRUVANAMALAI"
TN25Y," UNIT OFFICE, CHEYYAR      "
TN25Z,"UNIT OFFICE, ARANI,"
TN28,"RTO, NAMAKKAL NORTH"
TN28Z,"UNIT OFFICE,RASIPURAM,"
TN29,"RTO, DHARMAPURI"
TN29T,"UNIT OFFICE,HARUR,"
TN29W,"UO, PALACODE"
TN30,"RTO, (SALEM -WEST)"
TN30W,"UNIT OFFICE,OMALUR,"
TN31,"RTO, CUDALORE"
TN31Z,UNIT OFFICE PANRUTI
TN32,"RTO,VILLUPURAM"
TN33,"RTO,ERODE EAST"
TN34,"RTO, TIRUCHENCODE"
TN36,"RTO, COBICHETTIPALAYAM"
TN36W,"UNIT OFFICE,BHAVANI,"
TN36Z,"UNIT OFFICE,SATHIAMANGALAM,"
TN37,"RTO, COIMBATORE (SOUTH)"
TN37Z,"UO, SULUR"
TN38,"RTO,COIMBATORE (NORTH)"
TN39,"RTO, TIRUPUR (NORTH)"
TN39Z,"UO, AVINASHI"
TN40,"RTO, METTUPALAYAM"
TN41,"RTO, POLLACHI"
TN41W,"UNIT OFFICE, VALPARAI"
TN42,"RTO, TIRUPUR (SOUTH)"
TN42Y,"UO, KANGAYAM"
TN43,"RTO, OOTY"
TN43Z,"UNIT OFFICE, GUDALUR,"
TN45,"RTO,TIRUCHIRAPPALLI WEST"
TN45Z,"UNIT OFFICE, MANAPARAI,"
TN46,"RTO, PERAMBALUR"
TN47,"RTO, KARUR"
TN47Y,"UNIT OFFICE, ARAVAKURICHI"
TN47Z,"UNIT OFFICE, KULITHALAI,"
TN48,"RTO, SRIRANGAM"
TN48X,"UNIT OFFICE, LALKUDI"
TN48Y,"UO, MUSURI"
TN48Z,"UNIT OFFICE, THURAIYUR,"
TN49,"RTO,TANJAVUR"
TN49Y,"UNIT OFFICE, PATTUKOTTAI"
TN50,"RTO, TIRUVARUR"
TN50Z,"UNIT OFFICE, MANNARKUDI,"
TN51,"RTO, NAGAPATTINAM"
TN52,"RTO, SANGAGIRI"
TN52Z,"UNIT OFFICE, METTUR,"
TN54,"RTO,SALEM (EAST)"
TN55,"RTO, PUDUKOTTAI"
TN55Y,"UNIT OFFICE, ILLUPPUR"
TN55Z,"UNIT OFFICE, ARANTHANGI,"
TN56,"RTO, PERUNDURAI"
TN57,"RTO, DINDIGUL"
TN57R,"UNIT OFFICE, ODDANCHATRAM"
TN57V,"UO, VEDASANDUR"
TN57W,"UO, BATLAGUNDU"
TN57Z,"UNIT OFFICE, PALANI,"
TN58,"RTO, MADURAI  (SOUTH)"
DL1,"DY.DIR.ZONAL OFFICE,NORTHZONE,MALL ROAD"
DL10,"DY.DIR.ZONAL OFFICE,NORTH WEST DISTRICT-II,ROHINI"
DL11,"DY.DIR.ZONAL OFFICE,WEST DISTT-II,RAJOURI GARDEN"
DL12,"DY.DIR.ZONAL OFFICE,SOUTH WEST DISTT,VASANT VIHAR"
DL13,"DY.DIR.ZONAL OFFICE,EAST DISTT -II,SURAJMAHALVIHAR"
DL2,"DY.DIR.ZONAL OFFICE,NEW DELHI,TILAK MARG"
DL3,"DY.DIR.ZONAL OFFICE,SOUTH DELHI,SHEIKH SARAI"
DL4,"DY.DIR.ZONAL OFFICE,WEST DELHI,JANAKPURI"
DL5,"DY.DIR.ZONAL OFFICE,DELHI NORTH EAST, LONI ROAD"
DL6,"DY.DIR.ZONAL OFFICE,CENTRAL DELHI,SARAI KALE KHAN"
DL7,"DY.DIR.ZONAL OFFICE,EAST DELHI,MAYUR VIHAR"
DL8,"DY.DIR.ZONAL OFFICE,DELHI NORTH WEST,WAZIRPUR"
DL9,"DY.DIR.ZONAL OFFICE,SOUTH WEST DELHI,JANAKPURI"
GA03,"ASST.D.O.T,MAPUSA"
GA04,"ASST.D.O.T,BICHOLIM"
GA05,"ASST.D.O.T,PONDA"
GA06,"ASST.D.O.T,VASCO"
GA07,"ASST.D.O.T,PANAJI"
GA08,"ASST.D.O.T,MARGAO"
GA09,"ASST.D.O.T,QUEPEM"
GA10,"ASST.D.O.T,CANACONA"
GA11,"ASST.D.O.T,PERNEM"
GA12,"ASST.D.O.T,DHARBANDORA"
GJ01,"RTO,AHMEDABAD"
GJ01W,"WIAA,AHMEDABAD"
GJ02,"RTO,PALAVASANA"
GJ03,"RTO,PORBANDAR HIGHWAY"
GJ04,"RTO,BHAVNAGAR"
GJ05,"RTO,SURAT"
GJ06,"RTO,VADODARA"
GJ07,"RTO,NADIAD"
GJ08,"RTO,BANASKANTHA"
GJ09,"RTO,SABARKANTHA"
GJ10,"RTO,JAMNAGAR"
GJ11,"RTO,JUNAGADH"
GJ12,"RTO,BHUJ-KACHCHH"
GJ13,"ASST.RTO,SURENDRANGAR"
GJ14,"ASST.RTO,AMRELI"
GJ15,"RTO,VALSAD"
GJ16,"ASST.RTO,BHARUCH"
GJ17,"RTO,GODHRA"
GJ18,"ASST.RTO,GANDHINAGAR"
GJ19,"ASST.RTO,BARDOLI"
GJ20,"ASST.RTO,DAHOD"
